Region,Sector,Subsector,Energético,Energia estimada
XV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,6.689203
XV,Industrial y Minero,"Todos, IM",Gas Licuado,8.405586
XV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,5.643966
XV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.176793
XV,Transporte,Terrestre,Gas Licuado,0.145931
XVI,Transporte,Terrestre,Diesel,193.56615000000002
XVI,Transporte,Terrestre,Gasolina Aviacion,0.0
XVI,Transporte,Terrestre,Gasolina Motor,142.34219000000002
XVI,Transporte,Terrestre,Kerosene,4.0874500000000005
XVI,Transporte,Terrestre,Kerosene Aviacion,0.02
XVI,Transporte,Terrestre,Petróleo Combustible,0.0
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,41.83429
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.12637
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,3.75556
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.095
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.42991999999999997
XVI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,44.96969
XVI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,4.026590000000001
XVI,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,7.724131
XVI,Industrial y Minero,"Todos, IM",Gas Licuado,6.06856
XVI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,22.602051
XVI,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.367674
XVI,Transporte,Terrestre,Gas Licuado,0.410054
XVI,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,1.41207053
XVI,Industrial y Minero,"Todos, IM",Gas Natural,0.0
XVI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,1.142056
XVI,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,1.1081955700000001
XVI,Transporte,"Todos, T",Gas Natural,0.0
XVI,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.00222047
