nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región de Tarapacá,1,Industrial y Minero,Pesca,Petróleo Combustible,112.51927049999999,,
Región de Antofagasta,2,Industrial y Minero,Pesca,Petróleo Combustible,50.75205450000001,,
Región de Atacama,3,Industrial y Minero,Pesca,Petróleo Combustible,13.143480000000002,,
Región de Coquimbo,4,Industrial y Minero,Pesca,Petróleo Combustible,19.001325,,
Región del Biobío,8,Industrial y Minero,Pesca,Petróleo Combustible,241.811934,,
Región de Los Lagos,10,Industrial y Minero,Pesca,Petróleo Combustible,175.831929,,
Región Metropolitana de Santiago,13,Industrial y Minero,Pesca,Petróleo Combustible,10.9581255,,
Región de Los Ríos,14,Industrial y Minero,Pesca,Petróleo Combustible,18.428781,,
Región de Arica y Parinacota,15,Industrial y Minero,Pesca,Petróleo Combustible,77.725578,,
Región de Antofagasta,2,Industrial y Minero,Salitre,Petróleo Combustible,5.106625550209848,,
Región del Maule,7,Industrial y Minero,Azúcar,Electricidad,0.96216714,,
Región del Biobío,8,Industrial y Minero,Azúcar,Electricidad,0.54434388,,
Región de Valparaíso,5,Industrial y Minero,Construcción,Electricidad,0.12545766,,
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Electricidad,19.3586,,
Región de Atacama,3,Industrial y Minero,Hierro,Electricidad,491.14686,,
Región de Coquimbo,4,Industrial y Minero,Hierro,Electricidad,72.27268,,
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Electricidad,11.68830128,,
Región de Los Lagos,10,Industrial y Minero,Industria Lactea,Electricidad,8.6264407,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industria Lactea,Electricidad,53.983133099999996,,
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Electricidad,73.749281596,,
Región de Ñuble,16,Industrial y Minero,Industria Lactea,Electricidad,1.6558861400000002,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Papel y Celulosa,Electricidad,54.026958613999994,,
Región del Maule,7,Industrial y Minero,Papel y Celulosa,Electricidad,749.9721058692,,
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Electricidad,1959.77191128,,
