Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
VIII,2017,salitre,0.0,10075.57448251563,0.0,2057.0,0.0
VIII,2018,salitre,0.0,10515.59234908449,0.0,1666.0,0.0
VIII,2019,salitre,0.0,10654.68263825134,0.0,1195.0,0.0
VIII,2020,salitre,0.0,10047.04949988198,0.0,1659.791,0.0
VIII,2021,salitre,0.0,11198.84068645881,0.0,1577.654,0.0
VIII,2022,salitre,0.0,11440.92365411503,0.0,1374.882,0.0
VIII,2023,salitre,0.0,11464.24113304354,0.0,1680.0,0.0
VIII,2024,salitre,0.0,11687.29844510509,0.0,1740.0,0.0
VIII,2025,salitre,0.0,11936.31723817632,0.0,1800.0,0.0
VIII,2026,salitre,0.0,12193.56621966274,0.0,1880.0,0.0
VIII,2027,salitre,0.0,12755.10825888302,0.0,1950.0,0.0
VIII,2028,salitre,0.0,13006.66180294702,0.0,2050.0,0.0
VIII,2029,salitre,0.0,13275.32777441802,0.0,2150.0,0.0
VIII,2030,salitre,0.0,13549.69666909294,0.0,2250.0,0.0
VIII,2031,salitre,0.0,13834.31902526941,0.0,2275.0,0.0
VIII,2032,salitre,0.0,14125.96257930317,0.0,2300.0,0.0
VIII,2033,salitre,0.0,14423.03326021513,0.0,2330.0,0.0
VIII,2034,salitre,0.0,14724.19001982262,0.0,2360.0,0.0
VIII,2035,salitre,0.0,15028.1644898719,0.0,2400.0,0.0
VIII,2036,salitre,0.0,15330.4828925553,0.0,2415.0,0.0
VIII,2037,salitre,0.0,15638.88297052663,0.0,2430.0,0.0
VIII,2038,salitre,0.0,15953.4870675598,0.0,2445.0,0.0
VIII,2039,salitre,0.0,16274.41998859253,0.0,2460.0,0.0
VIII,2040,salitre,0.0,16601.80904923701,0.0,2475.0,0.0
VIII,2041,salitre,0.0,16927.48322176206,0.0,2490.0,0.0
VIII,2042,salitre,0.0,17251.082333954,0.0,2505.0,0.0
VIII,2043,salitre,0.0,17572.24208068148,0.0,2520.0,0.0
VIII,2044,salitre,0.0,17890.59466936476,0.0,2535.0,0.0
